   6.0000000000000000      ,   1.9458916187514188E+035 ,   1.9994152830168188     
   2605055.0000000000      ,   9.7517663923110496E+037 ,   501.85340185282320     
   6299647.0000000000      ,   1.9484112722888153E+038 ,   1001.7093839980427     
   10395647.000000000      ,   2.9216557465613501E+038 ,   1501.5704206182411     
   14147583.000000000      ,   3.8949124018838585E+038 ,   2001.4377134591816     
   18243583.000000000      ,   4.8681820042357426E+038 ,   2501.3116559299901     
   21995519.000000000      ,   5.8414624188179937E+038 ,   3001.1911515920287     
   26091519.000000000      ,   6.8147538046301490E+038 ,   3501.0762821078965     
   29843455.000000000      ,   7.7880577334859969E+038 ,   4000.9678547654753     
   33939455.000000000      ,   8.7613798032834448E+038 ,   4500.8687446605145     
   37634047.000000000      ,   9.7347238921265807E+038 ,   5000.7809435979307     
   41730047.000000000      ,   1.0708096018521325E+039 ,   5500.7075426989049     
   45481983.000000000      ,   1.1681497626147550E+039 ,   6000.6492834413866     
   49577983.000000000      ,   1.2654931522865484E+039 ,   6500.6076079501054     
   53272575.000000000      ,   1.3628396115297855E+039 ,   7000.5816978621169     
   57368575.000000000      ,   1.4601894844812493E+039 ,   7500.5733206733948     
   61120511.000000000      ,   1.5575430622328066E+039 ,   8000.5839714397662     
   65216511.000000000      ,   1.6549012576848601E+039 ,   8500.6183388427889     
   68911103.000000000      ,   1.7522645823924143E+039 ,   9000.6790502430213     
   73007103.000000000      ,   1.8496339103411170E+039 ,   9500.7705944547724     
   76759039.000000000      ,   1.9470093000308111E+039 ,   10000.893271934843     
   80855039.000000000      ,   2.0443910323255756E+039 ,   10501.048525208860     
   84606975.000000000      ,   2.1417787008914316E+039 ,   11001.234267334339     
   88702975.000000000      ,   2.2391723687784125E+039 ,   11501.450822137989     
   92397567.000000000      ,   2.3365717732216403E+039 ,   12001.696840052173     
   96493567.000000000      ,   2.4339774108069105E+039 ,   12501.974871555181     
   100159487.00000000      ,   2.5313893889367394E+039 ,   13002.285468269294     
   104255487.00000000      ,   2.6288082766828126E+039 ,   13502.631552962323     
   107950079.00000000      ,   2.7262338965385231E+039 ,   14003.012213955459     
   112046079.00000000      ,   2.8236662993290749E+039 ,   14503.427712288345     
   115683327.00000000      ,   2.9211049902720140E+039 ,   15003.875506744702     
   119779327.00000000      ,   3.0185499670292446E+039 ,   15504.355585316005     
   123531263.00000000      ,   3.1160011457182342E+039 ,   16004.867517179262     
   127627263.00000000      ,   3.2134587850272491E+039 ,   16505.412630964514     
   131321855.00000000      ,   3.3109229752940999E+039 ,   17005.991390649247     
   135417855.00000000      ,   3.4083939611968720E+039 ,   17506.605052906823     
   139112447.00000000      ,   3.5058714413983648E+039 ,   18007.252070061106     
   143208447.00000000      ,   3.6033549162357308E+039 ,   18507.929875829974     
   146903039.00000000      ,   3.7008435820076107E+039 ,   19008.634342381160     
   150999039.00000000      ,   3.7983367669841797E+039 ,   19509.362019691824     
   154693631.00000000      ,   3.8958339196974911E+039 ,   20010.110075407436     
   158789631.00000000      ,   3.9933347142742471E+039 ,   20510.876835833787     
   162484223.00000000      ,   4.0908389802491410E+039 ,   21011.661425456372     
   166580223.00000000      ,   4.1883465345450341E+039 ,   21512.462903985979     
   170274815.00000000      ,   4.2858570580339611E+039 ,   22013.279632372603     
   174370815.00000000      ,   4.3833699229664979E+039 ,   22514.108386477958     
   178065407.00000000      ,   4.4808843829171384E+039 ,   23014.945332640124     
   182104063.00000000      ,   4.5783996958640790E+039 ,   23515.786659814730     
   185798655.00000000      ,   4.6759153699864183E+039 ,   24016.629841996109     
   189894655.00000000      ,   4.7734310677236914E+039 ,   24517.473145464435     
   193646591.00000000      ,   4.8709465242055465E+039 ,   25018.315209838307     
   197742591.00000000      ,   4.9684613793523105E+039 ,   25519.154185738626     
   201437183.00000000      ,   5.0659750495190645E+039 ,   26019.987075549048     
   205533183.00000000      ,   5.1634866985528603E+039 ,   26520.809584765051     
   209227775.00000000      ,   5.2609952100512518E+039 ,   27021.615979512993     
   213323775.00000000      ,   5.3584995948332435E+039 ,   27522.401179332101     
   217075711.00000000      ,   5.4559989083166828E+039 ,   28023.160332822474     
   221171711.00000000      ,   5.5534928112564887E+039 ,   28523.891697612053     
   224923647.00000000      ,   5.6509808583806244E+039 ,   29024.592986771426     
   229019647.00000000      ,   5.7484629541324246E+039 ,   29525.263709518927     
   232714239.00000000      ,   5.8459385323600684E+039 ,   30025.900958083250     
   236810239.00000000      ,   5.9434072487825976E+039 ,   30526.502964227930     
   240447487.00000000      ,   6.0408681419963875E+039 ,   31027.064790157532     
   244543487.00000000      ,   6.1383208731588449E+039 ,   31527.584695567184     
   248238079.00000000      ,   6.2357644031096593E+039 ,   32028.057343300974     
   252334079.00000000      ,   6.3331988957154097E+039 ,   32528.483574982150     
   256086015.00000000      ,   6.4306237103391129E+039 ,   33028.860100281570     
   260182015.00000000      ,   6.5280391135358921E+039 ,   33529.188288233665     
   263876607.00000000      ,   6.6254442795668511E+039 ,   34029.463897820773     
   267972607.00000000      ,   6.7228391615649012E+039 ,   34529.686688332236     
   271724543.00000000      ,   6.8202223741054128E+039 ,   35029.849544189092     
   275820543.00000000      ,   6.9175938684704292E+039 ,   35529.952215174570     
   279515135.00000000      ,   7.0149525963658117E+039 ,   36029.989317221160     
   283611135.00000000      ,   7.1122992503948118E+039 ,   36529.964407558204     
   287305727.00000000      ,   7.2096332704564711E+039 ,   37029.874609491781     
   291401727.00000000      ,   7.3069557764227352E+039 ,   37529.725674714980     
   295153663.00000000      ,   7.4042660947301977E+039 ,   38029.514143787645     
